Company,Website,Description,HQ,Category,Round Type,Amount Raised,Amount Raised (USD),Date Raised,Investors,CEO/Founder Name,CEO/Founder Title,CEO LinkedIn,CEO Email,CEO Twitter,CTO Name,CTO Title,CTO LinkedIn,CTO Email,CTO Twitter,Other Contacts,Enriched Investors,Funding Note,Enrichment Confidence,Notes / Flags,Source URL,Enrichment Source
Digital Asset,https://www.digitalasset.com,"New York-based blockchain infrastructure company that builds the Canton Network (a public, permissionless Layer-1 with configurable privacy for institutional finance) and the Daml smart-contract language for tokenizing real-world assets.","New York, NY, United States",Infrastructure,Undisclosed,$355.00M,355000000,2026-06-11,"Andreessen Horowitz(a16z), Coinbase Ventures, Liberty City Ventures",Yuval Rooz,Co-Founder and Chief Executive Officer,https://www.linkedin.com/in/yuvalrooz,yuval@digitalasset.com,@YuvalRooz,Ratko Veprek,Chief Technology Officer,https://www.linkedin.com/in/ratko-veprek-0545322/,,,Kelly Mathieson (Chief Business Development Officer) https://www.linkedin.com/in/kmathieson/; Eric Saraniecki (Co-Founder & Head of Network Strategy) ,"Andreessen Horowitz (a16z crypto, lead); Tradeweb; Citadel Securities; BNP Paribas; HSBC; Coinbase Ventures; Polychain Capital; Optiver; CME Ventures; S&P Global; SoFi; Apollo Funds; SBI Group; Broadridge; DRW Venture Capital; Goldman Sachs; DTCC; Circle Ventures; 7RIDGE; Liberty City Ventures","Two distinct recent rounds: $355M announced June 11, 2026, led by a16z crypto (to scale Canton for capital markets); and a prior $135M strategic round announced June 24, 2025, co-led by DRW Venture Capital and Tradeweb Markets. The ~$135M / ~$355M framing reflects two separate raises a year apart, not one round.",high,"CEO, CTO, BD lead, HQ, both funding rounds, and website verified against official site and PR Newswire/company press releases. Eric Saraniecki's title varies across sources (Head of Network Strategy / Head of Strategic Initiatives / Head of Product); official /about lists 'Co-Founder and Head of Network Strategy'; his personal LinkedIn URL could not be confirmed. No personal emails confirmed; media contact via /media-press page.",https://www.coincarp.com/fundraising/digital-asset/digital-asset-undisclosed/,Web research + Apollo (email)
Neura AI,https://neura-ai.io/,"Web3-native 'emotional AI' protocol building AI agents with empathy and persistent, user-owned emotional memory anchored on-chain via a Memory Ledger.",Singapore,"Infrastructure, AI/ML",Strategic,Undisclosed,,2026-06-09,"Animoca Brands, Basics Capital, Mario Nawfal",,,,,,,,,,,Kevin Pang / Pang Kevin Sai (Head of Business Development) -- public email info@neura-ai.io; LinkedIn not confirmed,"Animoca Brands, Basics Capital, TBV, Kinetic Kollective, Mario Nawfal (angel), Ne-Yo (angel); earlier partners/backers included MH Ventures, CSP DAO, IBC Group","Strategic round (amount undisclosed), announced ~June 2026. NE-YO partnership announced Aug 2025. CoinCarp anchor URL returned 404; identity confirmed via Chainwire/CryptoSlate press releases.",high,"Project officially branded 'Neura' (not 'Neura AI'); the AI/web3 emotional-AI project is at neura-ai.io with X @Neura_Web3_AI. CAUTION: many same-named but UNRELATED entities exist -- meetneura.ai (AI agents SaaS), neura.ai, neuraai.space, neuramed.io (medical), Neurala (Boston vision AI). The correct one is the on-chain emotional-AI project backed by Animoca/Ne-Yo. HQ: press-release dateline says Singapore; one secondary source said Tokyo -- Singapore used (medium confidence on HQ). Founder/CEO not publicly named; team described as 'ex-Microsoft AI experts.' Twitter: https://x.com/Neura_Web3_AI",https://www.coincarp.com/fundraising/neura-ai/neura-ai-strategic/,Web research
XEFFY,https://xeffy.io/,"Web3 asset-management platform on Ethereum combining institutional-grade market-neutral vault strategies (XAX Vault) with on-chain real-world-asset (RWA) infrastructure, a stablecoin (xUSD) and payment financing.",,DeFi,Private,$15.00M,15000000,2026-06-05,,,,,,,,,,,,,Private/strategic round backed by an undisclosed 'private network of early strategic investors' (not publicly named),"$15M private round (part of $20M total = $5M angel + $15M private), announced ~mid-2026 per The Block / CryptoRank. CoinCarp anchor URL returned 404; identity confirmed via The Block press release, official site xeffy.io, and crypto-fundraising.info.",high,"Company identity confirmed (xeffy.io, XAX Vault, $20M raise). However NO founder/CEO/CTO names are publicly disclosed -- team page omits names; only contact is a Telegram bot (t.me/Xeffy_Bot). Self-described as 'Asia's first' (Asia HQ implied but no city published). Did not guess any contacts. Investor names for the round were not disclosed publicly.",https://www.coincarp.com/fundraising/xeffy/xeffy-private/,Web research
JPYC,https://jpyc.co.jp/,"Issuer of JPYC, Japan's first regulated yen-pegged stablecoin (1 JPYC = 1 JPY), backed 100% by bank deposits and Japanese government bonds.","Tokyo, Japan",Stablecoin,Series B,$17.62M,17620000,2026-04-20,"Metaplanet Holdings, i-nest Capital",Noritaka Okabe,Founder & CEO (Representative Director),,,,,,,,,,"Led by Asteria Corporation. Participants incl. directX Ventures, Chugin Capital Partners, TM Capital, HEROZ, fundnote, Meiji Yasuda Life-associated funds, Ryobi Systems; second close added Life Design Fund, IHD Strategy Fund, Apo Bank fund, Meiji Yasuda Future Co-Creation Fund, NCB Venture Capital, Tekmira Holdings, Metaplanet, Canal Ventures, Sumitomo Life (SUMISEI Innovation Fund), i-nest capital, NTVP, North Pacific Bank, Yokohama Capital","Series B reported around $12M first close (~JPY1.78B) led by Asteria; second close added ~JPY2.8B; aggregate Series B figures reported up to ~$17.6-18.1M (matches CoinCarp $17.62M). CoinCarp anchor URL returned 404; identity confirmed via Ledger Insights, Fintech Observer, CryptoRank, Japan Times.",high,"Strong, well-documented Japanese stablecoin issuer (JPYC Inc. / JPYC株式会社, founded Nov 2019). CEO Noritaka Okabe confirmed across multiple sources (Headline founder spotlight, Japan Times). Official corporate site corporate.jpyc.co.jp; product site jpyc.jp. Twitter: company @jpyc_official; token @jpy_coin. CTO not publicly identified. Okabe LinkedIn not confirmed -- left blank rather than guess.",https://www.coincarp.com/fundraising/jpyc/jpyc-series-b2/,Web research
CAEX,https://www.caex.com.vn/,Vietnam-based regulated centralized crypto-asset exchange (Vietnam Prosperity Crypto Asset Exchange JSC) offering compliant VND-based digital asset trading under Vietnam's Resolution 05/2025/NQ-CP pilot framework.,"Hanoi, Vietnam",CEX,Undisclosed,Undisclosed,,2026-04-10,"OKX Ventures, Hashkey Capital",Nguyen Hong Trung,Chairman & CEO,,,,,,,,,,"Founding shareholders VPBank Securities (VPBankS) and LynkiD (both part of the VPBank ecosystem); strategic investors OKX Ventures and HashKey Capital (HashKey Fintech Investment Fund III, also core technology partner)","Undisclosed strategic investment (announced Hanoi, 10 Apr 2026) to help meet Vietnam's ~VND10 trillion (~$380M) minimum-capital pilot requirement. CoinCarp anchor URL returned 404; identity confirmed via HashKey newsroom, VnEconomy, CoinDesk, Crowdfund Insider.",high,"Correct crypto entity confirmed: Vietnamese regulated CEX backed by VPBank/OKX/HashKey, HQ at 5 Dien Bien Phu St, Hanoi. CAUTION: an unrelated 'caex.io' California private crypto exchange desk exists -- NOT this company. Official site caex.com.vn. Chairman/CEO Nguyen Hong Trung confirmed across VnEconomy and HashKey sources (English transliteration; Vietnamese spelling Nguyễn Hồng Trung). CTO not named publicly; no public LinkedIn/Twitter for execs found -- left blank.",https://www.coincarp.com/fundraising/caex/caex-undisclosed/,Web research
finrob,https://www.finrob.xyz/,"AI-native research platform (Finrob Limited) offering 18+ specialized AI agents (powered by Claude, GPT-5.2, Gemini 3.1) for real-time on-chain analytics and market intelligence across crypto and financial markets, with pay-per-query/x402 + USDC billing.",,Finance/Banking,Seed,$3.90M,3900000,2026-02-25,"Maven 11 Capital, Placeholder, Archetype",Eric Yang,Co-Founder,,,,,,,,,,"Maven 11, Placeholder VC, Node Capital, Archetype, Dispersion Capital, Fabric Ventures","$3.9M seed round closed Feb 2026, announced via GlobeNewswire/Chainwire. CoinCarp anchor URL returned 404; identity confirmed via GlobeNewswire press release and official site finrob.xyz / app.finrob.xyz.",high,"Company identity strong (Finrob Limited, finrob.xyz, $3.9M seed, named investors). Eric Yang named in the press release as Co-Founder (title 'CEO' not explicitly stated -- listed as Co-Founder). CAUTION: 'Eric Yang' is a very common name; multiple unrelated LinkedIn profiles exist (Gradient, Topaz Labs, Fundamental Labs) -- NONE confirmed as this person, so ceo_linkedin left blank rather than risk a wrong match. No CTO publicly named. The press release listed 'Aurora, Colorado' (likely the GlobeNewswire distribution/registered datapoint, not necessarily an operational HQ) -- left hq blank as unconfirmed for the actual company. Email/Twitter not confirmed.",https://www.coincarp.com/fundraising/finrob/finrob-seed/,Web research
Based,https://based.one,"A composable Web3 consumer super-app that unifies perpetuals trading, prediction markets, staking and real-world crypto spending (via a Based Visa card) into one interface, built on Hyperliquid's infrastructure.",Singapore,"DeFi, Infrastructure",Series A,$11.50M,11500000,2026-02-23,"Pantera Capital, Coinbase Ventures, Wintermute",Edison Lim,Co-founder & CEO,https://sg.linkedin.com/in/edisonljh,,https://x.com/edison0xyz,Zac,Co-founder & CTO,,,,,"Pantera Capital (lead), Coinbase Ventures, Wintermute Ventures, Karatage","Series A $11.5M, announced ~Feb 2026, led by Pantera Capital. 8 months post-launch: 100k+ registered users, 30k MAU, ~$40B cumulative trading volume.",high,"Slug 'basedapp' = the project Based (based.one), a Hyperliquid-powered crypto super-app; NOT Science Based Targets or any unrelated 'Based'. CEO publicly goes by 'Edison' (full name Edison Lim per LinkedIn/CypherHunter). CTO co-founder publicly known only as 'Zac'; full name and socials not disclosed. Company X: https://x.com/BasedOneX, LinkedIn: https://www.linkedin.com/company/basedone/.",https://www.coincarp.com/fundraising/basedapp/basedapp-series-a/,Web research
YOAKE,https://yoake-entertainment.jp/en/,"Japanese Web3 entertainment joint venture building Record Protocol and the 'IRC APP' on Sony's Soneium chain, using the $REC token to measure and reward fandom contributions (IPFi infrastructure for music, anime, film and gaming).","Tokyo, Japan",NFT,Strategic,$3.20M,3200000,2026-02-13,Sony Innovation Fund,Sota Moriyama,"CEO, YOAKE entertainment",https://jp.linkedin.com/in/sota-moriyama-117970246,,https://x.com/sota_yoake,,,,,,,"Sony Innovation Fund (lead/sole disclosed). Company is a JV backed by Sony Group, ASOBISYSTEM, TWIN PLANET, W TOKYO, and Y&N Brothers. Collaborates with Sony Block Solutions Labs / Startale Group.","Strategic $3.2M (~500M JPY) from Sony Innovation Fund, announced Feb 13 2026. Total raised ~$4.45M incl. $1.25M Extended Seed (Apr 2025).",high,Japanese web3/NFT entertainment project. YOAKE entertainment is the parent company building 'Record Protocol' (see the separate 'Record' entry below — same Sony Innovation Fund deal). Project X: @YOAKE_ent_jp / @YOAKEofficialEN; Record Protocol X: @record_protocol. No public CTO disclosed.,https://www.coincarp.com/fundraising/yoake/yoake-strategic/,Web research
Record,https://yoake-entertainment.jp/en/,"Record Protocol is the IPFi (Intellectual-Property Finance) infrastructure built by YOAKE entertainment on Sony's Soneium chain, turning fan/fandom contributions into measurable, verifiable on-chain value via the $REC token (demonstrated with idol groups AKB48, Nogizaka46, FRUITS ZIPPER, etc.).","Tokyo, Japan",Other,Undisclosed,$3.20M,3200000,2026-02-13,Sony Innovation Fund,Sota Moriyama,"CEO, YOAKE entertainment (parent building Record Protocol)",https://jp.linkedin.com/in/sota-moriyama-117970246,,https://x.com/sota_yoake,,,,,,,Sony Innovation Fund (lead/sole disclosed); collaborator Sony Block Solutions Labs / Startale Group.,"Undisclosed/Strategic $3.2M (~500M JPY) from Sony Innovation Fund, Feb 2026 — this is the SAME funding event as the 'YOAKE' entry (CoinCarp lists it under both slugs).",high,"The crypto project 'Record' = Record Protocol, developed by YOAKE entertainment. NOT the Brazilian TV network (RecordTV) and NOT Record Financial Group. Same $3.2M Sony Innovation Fund deal as the YOAKE row — CoinCarp double-listed it under slugs 'record' and 'yoake'. Record Protocol X: https://x.com/record_protocol.",https://www.coincarp.com/fundraising/record/record-undisclosed/,Web research
Rate Arbitrage Nexus,,"Listed on aggregators as an AI-powered funding-rate arbitrage / quantitative analytics platform operating across perpetual-futures markets, but no verifiable product, team or site could be confirmed.",,Other,Strategic,Undisclosed,,2026-02-12,Castrum Capital,,,,,,,,,,,,,"CoinCarp/CryptoRank list a 'Strategic' round (Feb 10 2026) but figures are placeholder-grade (CryptoRank shows ~$100 raised, $50k valuation; investor names hidden behind login). No credible round confirmed.",low (not confirmed),"Marked exists=false: this looks like a stub/placeholder ICO listing rather than a real funded company. Only artifact found is an X handle @RAN_System and a Telegram. No official website, no named founders/team, no verifiable investors or funding amount. DropsTab/CryptoRank flag data as Beta/unverified. Treat as unfindable / likely not a legitimate fundable entity.",https://www.coincarp.com/fundraising/rate-arbitrage-nexus/rate-arbitrage-nexus-strategic/,unresolved
