name,dates,location,region,category,focus,attendance,website,description
Blockchain Futurist Conference Toronto,"Jul 21–22, 2026","Toronto, Canada",North America,Multi-chain / Web3,"Web3, Crypto, DeFi, NFTs, DAOs, AI","7,000+",https://futuristconference.com/,"Canada's largest blockchain and crypto event, 9th edition. Immersive crypto experience with NFT galleries, token gamification, 3 stages, expo booths."
Mining Disrupt 2026,"Jul 21–23, 2026","Miami, Florida, USA",North America,Bitcoin / Mining,"Bitcoin mining, ASIC manufacturers, mining pools","5,000+",https://miningdisrupt.com/,"The world's largest Bitcoin mining expo, uniting industry leaders, innovators, vendors across the mining value chain."
ETHGlobal Lisbon 2026,"Jul 24–26, 2026","Lisbon, Portugal",Europe,Ethereum / Hackathon,"Ethereum, DeFi, ZK, L2, builder hackathon",800+,https://ethglobal.com/events,"ETHGlobal's flagship IRL hackathon in Lisbon, bringing together Ethereum builders to ship real projects over 3 days."
Pragma Lisbon 2026,"Jul 25, 2026","Lisbon, Portugal",Europe,Ethereum / Summit,"Ethereum protocol, Web3 founders, builders summit",500+,https://ethglobal.com/pragma,"ETHGlobal's curated one-day summit for Web3 founders and builders, featuring product launches and technical debates."
Rare Evo 2026,"Jul 28–31, 2026","Las Vegas, Nevada, USA",North America,Multi-chain / Web3,"Multi-chain, NFTs, DeFi, interoperability, Web3 gaming","3,000+",https://rareevo.io/,5th annual blockchain event at ARIA Resort & Casino. Celebrates interoperability and convergence of traditional industry with Web3.
Coinfest Asia 2026,"Aug 20–21, 2026","Bali, Indonesia",Asia-Pacific,Multi-chain / Web3,"Crypto, Web3, DeFi, NFTs, community","10,000+",https://coinfest.asia/,"The world's largest crypto festival at Melasti Beach, Bali. A vibrant community-driven festival celebrating crypto culture."
Wyoming Blockchain Symposium 2026,"Aug 17–20, 2026","Jackson Hole, Wyoming, USA",North America,Policy / Institutional,"Blockchain policy, regulation, institutional adoption",500 (invite-only),https://www.salt.org/events/wyoming-blockchain-symposium-2026,"Invitation-only symposium hosted by SALT and Kraken at Four Seasons Resort Jackson Hole, gathering 500 leading investors, entrepreneurs, builders, and policymakers."
Bitcoin Asia 2026,"Aug 27–28, 2026",Hong Kong,Asia-Pacific,Bitcoin,"Bitcoin, institutional adoption, treasury companies, Asia market","10,000+",https://asia.b.tc/,Asia's largest Bitcoin conference at Hong Kong Convention and Exhibition Centre. 150+ speakers from 125+ countries.
Bitcoin Policy Summit 2026,Sep 2026 (TBC),"Washington DC, USA",North America,Bitcoin / Policy,"Bitcoin regulation, US policy, government officials","1,000+",https://btcpolicysummit.org,"3rd annual Bitcoin Policy Summit by the Bitcoin Policy Institute. Brings together regulators, policy experts, and government officials."
ETHOnline 2026,"Sep 4–16, 2026",Online (Global),Global / Online,Ethereum / Hackathon,"Ethereum, DeFi, ZK, async online hackathon","5,000+",https://ethglobal.com/events,"ETHGlobal's annual async online hackathon, open to builders worldwide to ship Ethereum-based projects remotely."
ETHGlobal Tokyo 2026,"Sep 25–27, 2026","Tokyo, Japan",Asia-Pacific,Ethereum / Hackathon,"Ethereum, DeFi, ZK, L2, builder hackathon",800+,https://ethglobal.com/events,"ETHGlobal's IRL hackathon in Tokyo, bringing together Ethereum builders from across Asia and globally."
Pragma Tokyo 2026,"Sep 26, 2026","Tokyo, Japan",Asia-Pacific,Ethereum / Summit,"Ethereum protocol, Web3 founders, builders summit",500+,https://ethglobal.com/pragma,ETHGlobal's curated one-day summit for Web3 founders and builders in Tokyo.
BTCHel 2026,"Sep 25–26, 2026","Helsinki, Finland",Europe,Bitcoin,"Bitcoin, Nordic ecosystem, miners, developers","1,000+",https://btchel.com,"The first and largest Bitcoin conference in the Nordics, gathering major players across the Nordic scene."
Bitcoin++ Berlin 2026,"Oct 1–3, 2026","Berlin, Germany",Europe,Bitcoin / Developer,"Bitcoin development, payments, Lightning Network",500+,https://btcplusplus.dev,Theme-based Bitcoin developer conference series. Berlin edition focuses on 'Bitcoin gets paid' — payments and Lightning.
