"name","legal_name","tier","sector","type","website","tagline","summary","description","twitter_x","linkedin","discord","github","telegram","youtube","logo_url"
"Jito","","Platinum","Staking","Protocol","https://www.jito.network/","Non-custodial liquid staking on Solana","Jito is the largest DeFi protocol on Solana, providing non-custodial liquid staking with MEV rewards and MEV-optimized validator infrastructure.","Jito operates two core products on Solana: a liquid staking protocol that lets users stake any amount of SOL and receive JitoSOL with auto-compounded rewards amplified by MEV extraction, and a MEV infrastructure suite including an open-source validator client and transaction relayer. The Jito Foundation governs the protocol through JTO token holders who shape its development.","https://x.com/jito_sol","https://www.linkedin.com/company/jito-labs","https://discord.gg/jito","https://github.com/jito-foundation","","",""
"Solana Policy Institute","","Platinum","Policy","Community","https://www.solanapolicyinstitute.org/","Educating policymakers on how decentralized networks are the future of the digital economy","The Solana Policy Institute is a non-partisan, not-for-profit organization that educates policymakers on decentralized networks and advocates for legal clarity for the Solana ecosystem.","The Solana Policy Institute is a non-partisan, not-for-profit organization focused on educating policymakers about how decentralized networks like Solana are transforming the digital economy. The institute serves as a liaison between policymakers and the Solana ecosystem, advocating for legislation and regulation that supports industry growth in the United States.","https://x.com/SolanaInstitute","https://www.linkedin.com/company/solana-policy-institute","","","","",""
"Altitude","","Platinum","Payments","Company","https://altitude.xyz/","Banking for companies on the frontier","Altitude provides global business accounts, stablecoin and traditional bank payments, yield on balances, and CFO tools for companies operating across crypto and traditional finance.","Altitude is a financial platform that combines modern operating accounts, integrated payment rails, and treasury management into a single product. It enables businesses to open USD and EUR accounts with local bank details, on- and off-ramp between stablecoins and fiat with zero fees, and earn up to 3.25% APY on qualifying treasury balances. The platform serves crypto companies, startups, agencies, enterprises, and import/export businesses in over 150 countries.","https://x.com/altitude","","","","","",""
"Cherry Servers","","Gold","Infrastructure","Company","https://www.cherryservers.com/","Bare metal cloud built for developers.","Cherry Servers provides dedicated servers, cloud infrastructure, and GPU hosting for technical teams.","Cherry Servers is an infrastructure provider offering bare metal servers, cloud instances, GPU servers, storage, and networking services. The platform serves teams that need high-performance, developer-friendly compute infrastructure.","https://x.com/CherryServers","https://www.linkedin.com/company/cherry-servers/","","https://github.com/cherryservers","","https://www.youtube.com/@cherryservers",""
"Brave","","Gold","Developer Tools","Company","https://brave.com/","The browser that puts users first.","Brave is a privacy-first browser, search, and wallet company with built-in web3 support.","Brave builds privacy-preserving browser, search, advertising, and wallet products for users and developers. Its browser includes native web3 capabilities through Brave Wallet and supports Solana alongside other networks.","https://x.com/brave","https://www.linkedin.com/company/brave-software","","https://github.com/brave","","https://www.youtube.com/bravesoftware",""
"Vybe Network","","Gold","Developer Tools","Platform","https://www.vybenetwork.com/","Solana intelligence for builders and analysts.","Vybe Network provides Solana data, analytics, and API tooling for applications and market participants.","Vybe Network is a Solana data and intelligence platform that provides APIs, analytics, and dashboards for developers, traders, and ecosystem teams. Its tools help users inspect Solana activity, markets, and assets through accessible data products.","https://x.com/Vybe_Network","","","","https://t.me/VybeNetwork_Official","",""
"Alchemy","","Gold","Infrastructure","Platform","https://www.alchemy.com/","Infrastructure that moves billions at scale.","Web3 development platform providing blockchain infrastructure, APIs, and developer tools across multiple chains including Solana.","Alchemy is a web3 development platform providing blockchain infrastructure, APIs, SDKs, and developer tools. Its Solana offering includes archive data retrieval, gRPC streaming, enhanced RPC endpoints, and staked transaction connections purpose-built for Solana's architecture. The platform also provides embedded wallets, gasless transactions, webhooks, and portfolio APIs across over 100 supported chains.","https://x.com/Alchemy","https://www.linkedin.com/company/alchemyinc/","https://discord.gg/9GnAcXQYZ6","https://github.com/alchemyplatform","","",""
"WalletConnect","","Gold","Developer Tools","Platform","https://walletconnect.network/","The wallet UX layer for the decentralized web.","WalletConnect provides wallet connectivity, messaging, and identity infrastructure for web3 applications.","WalletConnect is an open protocol and product ecosystem for connecting wallets to decentralized applications. It provides wallet connection, messaging, and identity infrastructure used by apps and wallets across multiple blockchain ecosystems.","https://x.com/wcthub","","https://discord.com/invite/walletconnectnetwork","","https://t.me/walletconnect","",""
"Pyth","","Gold","Infrastructure","Protocol","https://www.pyth.network/","Real-time market data for decentralized applications.","Pyth is an oracle network delivering real-time financial market data to applications across Solana and other blockchains.","Pyth is a decentralized oracle network that publishes low-latency price feeds and market data for crypto, equities, foreign exchange, and commodities. The network is used by onchain applications that need timely data for trading, lending, risk management, and other financial workflows.","https://x.com/PythNetwork","https://www.linkedin.com/company/pyth-network/","https://discord.com/invite/PythNetwork","https://github.com/pyth-network","https://t.me/Pyth_Network","https://www.youtube.com/@pythnetwork",""
"DFDV","DeFi Development Corp.","Gold","DeFi","Company","https://defidevcorp.com/","A public company with a Solana treasury strategy.","DeFi Development Corp. is a public company focused on building and holding a Solana treasury alongside its operating businesses.","DeFi Development Corp. is a public company with a Solana treasury strategy and operating businesses connected to digital assets and financial technology. The company communicates with investors and ecosystem participants through its DeFi Development Corp. brand.","https://x.com/defidevcorp","https://www.linkedin.com/company/defi-development-corporation","","","","",""
