icp_score,company,usp,icp_reason
97,SG FORGE,SG-Forge is Societe Generale's regulated digital assets subsidiary that issues tokenized bonds and structured products on public blockchains under full regulatory compliance.,Regulated bank issuing tokenized securities; errors carry severe legal and financial cost
97,ZODIA CUSTODY,"A regulated institutional crypto custodian backed by Standard Chartered, providing compliant digital asset safekeeping for institutions.",Regulated custodian; errors mean permanent loss of institutional funds
96,TAURUS,Taurus is a Swiss-regulated digital asset custody and tokenization platform serving banks and financial institutions with institutional-grade infrastructure for holding and issuing crypto assets.,Regulated custodian; loss of assets is permanent and legal
95,BITGO,"BitGo is the leading institutional digital asset custodian and infrastructure provider, securing hundreds of billions in assets under custody for exchanges, funds, and fintechs.",Regulated custodian with billions AUC; mistakes are catastrophic and irreversible
95,CIRCLE,"Circle issues USDC, a regulated fiat-backed stablecoin used as critical financial infrastructure across DeFi, payments, and institutional settlement globally.",Regulated stablecoin issuer; systemic financial and legal exposure
95,GK8 BY GALAXY,"Provides institutional self-custody technology with an air-gapped cold vault solution, where security failures mean direct, unrecoverable loss of client digital assets.","Custodian; breach = permanent, unrecoverable asset loss"
95,KOMAINU,"Komainu is a regulated institutional digital asset custodian (joint venture of Nomura, Ledger, and CoinShares) providing compliant, insured custody for funds and banks.",Regulated custodian; errors mean permanent loss and legal liability
95,PAXOS LABS,"Regulated blockchain infrastructure company issuing regulated stablecoins (USDP, PYUSD) and tokenized gold under NYDFS oversight, where compliance failures carry direct legal and financial consequence.","Regulated stablecoin issuer; legal, financial, reputational stakes maximal"
95,SAFE,"Safe (formerly Gnosis Safe) is the dominant multi-signature smart account platform securing billions of dollars in on-chain assets for DAOs, institutions, and individuals.",Smart account bugs mean permanent loss of locked funds at massive scale
95,SOCIETE GENERALE-FORGE,SG-Forge is the regulated digital asset subsidiary of Societe Generale that issues security tokens and structured products on public blockchains under full banking supervision.,Regulated bank; errors carry legal and financial consequence
94,SIGMA PRIME,"Sigma Prime is an Ethereum security firm that builds the Lighthouse consensus client and delivers smart contract audits, directly underpinning the security of Ethereum's staked assets.",Consensus client bugs and missed audits risk billions in staked ETH
92,APOLLO,"Apollo Global Management has launched tokenized credit and RWA funds on-chain, bridging institutional private credit markets with blockchain-based distribution.",Institutional RWA with legal/financial stakes; top-tier regulated entity
92,S&P GLOBAL RATINGS,S&P Global Ratings provides authoritative credit risk assessments on debt instruments and issuers that institutional investors and regulators rely on globally for capital allocation decisions.,"Ratings errors trigger massive, persistent financial and legal liability"
92,WBTC,"WBTC (Wrapped Bitcoin) is a tokenized representation of Bitcoin on Ethereum backed 1:1 by custodied BTC, enabling Bitcoin liquidity to flow into DeFi protocols.",Custodied BTC backing; errors cause irreversible asset loss at scale
92,ZKSECURITY,A specialized security auditing firm focused exclusively on zero-knowledge proof systems and ZK circuit correctness.,Auditing ZK systems where bugs cause irreversible financial loss
90,BITCOIN SUISSE AG,"Bitcoin Suisse is a Swiss-regulated crypto financial services firm offering brokerage, custody, staking, and structured products to institutional and private clients.",Regulated Swiss custodian/broker; compliance errors are legally severe
90,BLOCK ANALITICA,"Block Analitica builds risk models and analytics dashboards for DeFi protocols, helping teams like MakerDAO manage on-chain financial risk in real time.",Risk infra for live DeFi protocols with locked capital; MakerDAO exposure
90,BPCE,"BPCE is France's second-largest banking group, operating retail, corporate, and investment banking with growing digital asset and tokenization initiatives.",Major regulated bank; errors carry persistent legal/financial cost
90,CERTORA,"Certora provides formal verification tooling for smart contracts, mathematically proving correctness before deployment to prevent exploits in high-value protocols.",Formal verification for protocols holding billions; errors are catastrophic
90,DOWGO,RWA tokenization platform that brings real-world assets like treasury bills and private credit on-chain for institutional and retail investors.,RWA tokenization errors cause irreversible legal and financial loss
90,GRAYSCALE,"Manages multi-billion dollar regulated crypto investment products including spot Bitcoin and Ethereum ETFs, where compliance failures or mismanagement carry severe legal and financial consequences.",Regulated AUM manager; compliance failures are legally devastating
90,KRAKEN,"Kraken is one of the most regulated and security-focused centralized crypto exchanges, serving retail and institutional clients globally with deep liquidity.","Exchange errors cause financial loss, regulatory sanctions, reputational damage"
90,OPENZEPPELIN,"The industry-standard smart contract security library and audit firm whose open-source code underpins hundreds of billions in DeFi TVL, making their correctness decisions systemic to the ecosystem.",Library bugs affect ecosystem-wide TVL; highest systemic stakes
90,SPIKO,"Spiko tokenizes EU-regulated money market funds and T-bills on-chain, giving institutional and retail investors permissioned access to low-risk yield instruments via blockchain.",Regulated tokenized RWA funds; errors carry legal/financial cost
88,21SHARES,"21Shares is a leading issuer of regulated crypto ETPs listed on major European exchanges, giving institutional and retail investors compliant exposure to digital assets.",Regulated ETP issuer; errors have legal and financial consequence
88,CENTRIFUGE,"Centrifuge tokenizes real-world assets like invoices, loans, and trade finance on-chain, bridging institutional credit markets to DeFi liquidity.",RWA tokenization of regulated credit assets; legal/financial stakes
88,CYSIC,Specialized ZK proof hardware accelerator that makes zero-knowledge computation fast and affordable enough for real-time production systems.,ZK hardware bugs break proof systems with irreversible trust loss
88,DYDX,"Decentralized perpetuals exchange running on its own Cosmos appchain, handling billions in trading volume with on-chain order books and settlement.",DEX with locked funds; bugs cause irreversible trader losses
88,GNOSIS,"Builds core Ethereum infrastructure including Safe multisig (securing $100B+ in assets) and the Gnosis Chain, where smart contract bugs result in irreversible fund loss.",Safe secures $100B+; multisig bugs are catastrophic and final
88,KEYROCK,Keyrock is a quantitative crypto market maker deploying proprietary algorithms across exchanges to provide deep liquidity for tokens and protocols.,"Algo errors cause direct, persistent financial loss at scale"
88,LAGRANGE LABS,Lagrange Labs builds ZK coprocessor infrastructure enabling smart contracts to run verifiable off-chain computation over historical on-chain state.,ZK proof errors compromise verifiability of systems relying on proofs
88,PENNY BY B2C2,"Institutional crypto market-making and liquidity platform by B2C2, providing programmatic OTC trading where pricing errors or system failures result in direct, immediate financial loss.","Market-making errors are immediate, quantifiable financial losses"
88,PLUME NETWORK,"RWA-native Layer 2 blockchain purpose-built for tokenizing and trading real-world assets, operating in a compliance-heavy space where on-chain errors have direct legal and financial permanence.",RWA tokenization with legal/financial stakes; highly persistent errors
87,IMMUNEFI,"Operates the largest crypto bug bounty platform, intermediating between white-hat hackers and protocols where unpatched critical vulnerabilities directly endanger billions in user funds.",Mediates critical vuln disclosures; mishandling causes protocol collapse
87,MIDEN,"Miden is Polygon's STARK-based ZK virtual machine enabling private, provable smart contract execution with client-side proving for maximum privacy and scalability.",ZK VM bugs undermine proof validity and privacy guarantees at protocol level
85,AMBER GROUP,"Amber Group is a global digital asset trading and financial services firm offering OTC trading, market making, and structured products to institutional clients.",Institutional trading desk; financial errors are persistent and costly
85,BYBIT,"Bybit is a top-tier centralized derivatives and spot exchange processing billions in daily volume, serving retail and institutional traders globally.",Custodial exchange; breaches/errors cost users real funds
85,CERTOTA,Security firm providing smart contract auditing and formal verification for DeFi protocols where exploits result in irreversible fund loss.,"Audit misses cause direct, unrecoverable client losses"
85,CHRONICLE,"Chronicle Protocol is a verifiable oracle network originally built for MakerDAO, delivering cryptographically attested price feeds to DeFi protocols on-chain.",Oracle feeds underpin collateral pricing; wrong data = protocol insolvency
85,ESPRESSO SYSTEMS,Decentralized sequencer and confirmation layer for L2 rollups that removes single points of failure and enables cross-rollup interoperability with credible neutrality.,Sequencer failures freeze L2 funds; persistent systemic risk
85,HACKEN,"Delivers smart contract audits, penetration testing, and ongoing security monitoring for blockchain protocols where missed vulnerabilities translate directly into user fund losses.","Security firm; audit misses cause direct, irreversible client losses"
85,LAGOON.FINANCE,Lagoon Finance is an on-chain RWA yield protocol that routes stablecoin capital into tokenized real-world assets for institutional-grade returns.,"RWA on-chain; smart contract bugs cause persistent, locked capital loss"
