full_name,title,company,bio,talk_title,photo_url,social_links,event,source_category
Hon. Roberta Metsola,President,European Parliament,"Hon. Roberta Metsola was elected President of the European Parliament in January 2022, becoming the youngest ever person to occupy this role. In July 2024, she was re-elected for another term, as only the second person and first woman to serve as President for two terms. President Metsola has been very vocal and firm in Europe’s support to Ukraine, following Russia’s brutal invasion. On 1st April 2022, she became the first President of an institution of the European Union to visit Ukraine since the start of the war. As President, she has led reforms towards a Parliament that is more modern, efficient and accountable. She was first elected as a Member of the European Parliament in 2013. Prior, President Metsola served within the Permanent Representation of Malta to the European Union and later as the legal advisor to the High Representative of the European Union for Foreign Affairs and Security Policy. In her student years, she campaigned actively for Malta's European Union membership. Professionally she is a lawyer who has specialised in European law and politics. Born in 1979, Roberta Metsola is married to Ukko Metsola and is the mother of four boys.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1730-1758193737.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Hon. Federico Freni,Undersecretary of State,Ministry of Economy and Finance of Italy,"Federico Freni is a lawyer and expert in administrative law. In 2021, he was appointed Undersecretary of State at the Ministry of Economy and Finance in the Draghi government. Following the 2022 political elections, he was elected to the Chamber of Deputies and reconfirmed as Undersecretary of State at the Ministry of Economy and Finance.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1500-1754311171.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Hon. Silvio Schembri,"Minister for the Economy, Enterprise and Strategic Projects of Malta",,"Silvio Schembri, Minister for the Economy, Enterprise and Strategic Projects, is an economist, academic and elected politician. Born in Luqa, he holds a Master’s and Bachelor’s degree in Economics from L-Università ta' Malta. He is experienced in political communication, sustainable development, negotiation and higher education.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1901-1759913297.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Hon. Alex Borg,Leader of the Opposition,Malta,"""Alex Borg, born on 10 June 1995 in Victoria, Gozo, is a lawyer and politician who currently serves as Leader of the Nationalist Party. He was first elected to the Maltese Parliament in 2022, securing the highest number of votes among Nationalist Party candidates after the party leader at the time. Over the past three years, he has served as Shadow Minister for Gozo and has been a member of both the Parliamentary Committee for Gozo and the Committee for Foreign Affairs. Raised in Nadur, Borg pursued his education at the Bishop's Conservatory, Gozo College, and Sir M. A. Refalo Sixth Form. He graduated with a degree in Law in 2019 and subsequently commenced practice as a lawyer. In 2019, Borg was elected to the Executive of the Nationalist Party Youth Movement, followed shortly thereafter by his election to the Nationalist Party Executive Committee. His commitment to grassroots engagement reflects his conviction that effective politics requires direct and sustained contact between elected representatives and their constituents. Borg's political philosophy centres on fostering a robust and competitive economy while maintaining comprehensive social services. He advocates for a balanced approach that promotes economic growth alongside social equity. Following the resignation of Nationalist Party Leader Dr Bernard Grech in June 2025, Borg announced his candidacy for the leadership position. On 6 September 2025, he was elected Leader of the Nationalist Party, marking a significant milestone in his political trajectory.""",,https://tickets.sigma.world/img/speakers/tmp/speaker-1957-1760428875.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Hon. Marcello Coppo,Member of the Chamber of Deputies,Italy,"Marcello Coppo is a Member of the Italian Chamber of Deputies with Fratelli d’Italia (Brothers of Italy). A lawyer admitted to the bar in 2009, he advises individuals and businesses on labor, social security, and tax matters. Before his election to Parliament in 2022, he served as Deputy Mayor of Asti (2017–2022) with responsibility for economic development and the promotion of local entrepreneurship, and had previously held various municipal roles in Asti since 2002. In the Chamber of Deputies, he serves on the Public and Private Labour Committee, the Committee on Elections, and the Parliamentary Committee of Inquiry into workplace conditions and safety. He also serves as Chair of the Inter-Parliamentary Committee on Digital Assets, Blockchain and Bitcoin, engaging with industry and institutions to promote clear, responsible rules for virtual assets that protect consumers while supporting competitiveness and growth.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1966-1760454123.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
H.E. Daniel Azzopardi,Ambassador of Malta to Italy,,"Daniel Azzopardi started his career in the Malta Civil Service in 2007 following a Government Scholarship on European Affairs at the University of Sussex, UK. His first post was that of an officer at the Planning and Priorities Coordination Division within the Office of the Prime Minister on the management of EU Funding. In March 2009 he took on his first assignment in Brussels as Technical Attaché in charge of the Energy and Land Transport dossier at the Permanent Representation of Malta to the European Union. He held this position until 2015. At the start of 2016, he returned to Malta as Chief Executive Officer of The Energy and Water Agency, a Government body tasked with developing and implementing Malta’s national policy on energy and water. In 2018 Mr Azzopardi was appointed Ambassador Extraordinary and Plenipotentiary, Permanent Representative of Malta to the European Union. In August 2020 he was then appointed as Malta’s Ambassador to the Kingdom of Spain. Ambassador Azzopardi has been appointed Ambassador to the Italian Republic on 30th August 2024. Ambassador Azzopardi holds a master’s degree in Contemporary European Studies, from the University of Sussex (UK), and a Bachelor of Arts (Hons) in European Studies from the University of Malta. He is married to Dr Roberta Azzopardi and they have 4 children.",,https://tickets.sigma.world/img/speakers/tmp/speaker-2044-1761029550.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
H.E. Lucimara Batista dos Reis,Honorary Consul of Brazil in Malta,,"With over 25 years of international leadership in auditing, risk management, corporate law, and regulatory compliance, Lucimara brings extensive experience across the financial sector, gaming industry, and FinTechs. She has led global initiatives in governance, risk, and compliance, spanning Europe, the Americas, and the Middle East. Currently serving as Honorary Consul of Brazil in Malta, Founder of Abrama, and Rotarian Board Member, she combines strategic insight with a strong commitment to integrity, stakeholder engagement, and cross-border collaboration.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1985-1760527055.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Hon. Andrea de Bertoldi,Member of the Chamber of Deputies,,"Andrea de Bertoldi is a Member of Parliament and member of the Finance Committee of the Chamber of Deputies. He belongs to the Lega parliamentary group and is the President of the LCD movement (Liberal Christian Democrats). A former Senator and Secretary of the Finance Committee in the previous legislature, he holds a degree in Economics and Commerce and a Master’s in International Taxation. He is also qualified as a Chartered Accountant and Statutory Auditor.",,https://tickets.sigma.world/img/speakers/tmp/speaker-2107-1761557087.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Brando Benifei,Member of the European Parliament,,"Brando Benifei is an Italian MEP serving his third term in the European parliament. During the previous mandate he was co-Rapporteur for the Artificial Intelligence Act and thanks to this work in March 2024 he won the prize for the Best MEP of the Mandate assigned by The Parliament Magazine. Now he is Coordinator in the Committee on International Trade for the Socialists and Democrats Group and Chair of the European Parliament's D-US delegation. He is member of the Committee on Constitutional Affairs and he works also as substitute member on the EU internal market and consumer protection and on legal affairs, always following closely digital issues.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1830-1759233052.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Plínio Augusto Lemos Jorge,President,ANJL – Brazilian National Association of Games and Lotteries,"Attorney, registered with the Brazilian Bar Association – OAB/SP nº 134.182 since August 8, 1995. President of the National Association of Games and Lotteries (ANJL). Partner at Lemos Jorge Advogados Associados (OAB/SP 7692). Former Judge at the São Paulo State Tax and Duties Court (2004–2014). Ph.D. candidate in Law at UNINOVE University (2021–present). Master’s in Tax Law from Pontifical Catholic University of São Paulo (PUC-SP, 2009). Postgraduate in Criminal Law from the Higher School of the São Paulo Public Prosecutor’s Office (2004). Law degree from Franca Law School (1995). Former Professor at Greco Filho Institute (1995–2002), FMU University (2009–2010), and Piaget College (2021). Author of books, book chapters, and peer-reviewed articles.",,https://tickets.sigma.world/img/speakers/tmp/speaker-674-1759139548.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
