signal_id,company_name,signal_type,description,date,source
S001,ZODIA CUSTODY,news,Zodia Custody became the first global custodian to support AUDM stablecoin custody,,company_news_cache
S002,SG FORGE,partnership,SG-FORGE partnered with Deutsche Börse Group to integrate CoinVertible stablecoins into traditional finance,,company_news_cache
S003,TAURUS,partnership,"Taurus expanded partnership with Scorechain for integrated blockchain analytics on February 26, 2026",2026-02-26,company_news_cache
S004,BITGO,funding,"BitGo raised $212.8M in its IPO, the first crypto listing of 2026",,company_news_cache
S005,KOMAINU,funding,Komainu deepens strategic partnership with Blockstream Capital Partners via derivatives team acquisition,,company_news_cache
S006,CIRCLE,news,Circle's Q4 2025 earnings beat drove shares up 23% on strong USDC demand,,company_news_cache
S007,SOCIETE GENERALE-FORGE,product_launch,"SG-FORGE launched EUR CoinVertible on XRP Ledger on February 18, 2026",2026-02-18,company_news_cache
S008,GK8 BY GALAXY,award,GK8 by Galaxy won Best Global Self-Custody Solution Provider 2025 at FinTech Awards,,company_news_cache
S009,PAXOS LABS,product_launch,Paxos Labs launched privacy-preserving USAD stablecoin on Aleo mainnet,,company_news_cache
S010,SIGMA PRIME,partnership,Sigma Prime partnered with Lunar Strategy to integrate security audits into Web3 marketing,,company_news_cache
S011,S&P GLOBAL RATINGS,funding,"S&P Global Ratings issued preliminary investment-grade ratings to Ledn's Bitcoin-secured debt on February 9, 2026",2026-02-09,company_news_cache
S012,APOLLO,news,Apollo agreed to acquire up to 90M Morpho governance tokens for DeFi influence,,company_news_cache
S013,WBTC,news,WBTC expanded to 21 blockchains for enhanced DeFi utility,,company_news_cache
S014,KRAKEN,funding,"Kraken announced acquisition of NinjaTrader, largest TradFi-crypto deal, advancing multi-asset trading",,company_news_cache
S015,BITCOIN SUISSE AG,product_launch,"Bitcoin Suisse released its Crypto Outlook 2026 report, predicting industry growth",,company_news_cache
S016,BPCE,product_launch,"BPCE launched crypto trading to 2 million customers in December 2025, expanding to 12 million by 2026",,company_news_cache
S017,OPENZEPPELIN,partnership,Stellar Development Foundation partners with OpenZeppelin through 2026 for Stellar Library and security tools,,company_news_cache
S018,CERTORA,award,"Certora awarded Ethereum Foundation grant on February 5, 2026, for zkEVM autoprecompiles verification",2026-02-05,company_news_cache
S019,SPIKO,product_launch,Spiko deployed tokenized US and EU T-Bills money market funds on Arbitrum blockchain,,company_news_cache
S020,DOWGO,news,DOWGO tokenizes real-world assets like treasury bills and private credit on-chain for institutional and retail investors,,company_news_cache
S021,GRAYSCALE,news,"Grayscale expanded its 2026 crypto watchlist to 36 assets, adding AI and DePIN tokens",,company_news_cache
S022,BLOCK ANALITICA,news,Block Analitica builds risk models and analytics dashboards for DeFi protocols like MakerDAO to manage on-chain financial risk in real time,,company_news_cache
S023,PLUME NETWORK,news,"PLUME token surged 25% on March 8, 2026, with trading volume exceeding market cap",2026-03-08,company_news_cache
S024,KEYROCK,product_launch,Keyrock launched its US entity to expand global digital asset services,,company_news_cache
S025,21SHARES,news,"21Shares published its 2026 State of Crypto report on December 11, 2025",2025-12-11,company_news_cache
S026,DYDX,product_launch,DYdX community launched three-month token buyback program from Nov 2025 to Jan 2026,,company_news_cache
S027,LAGRANGE LABS,product_launch,"Lagrange launched DeepProve, the world's fastest zkML library for verifiable AI inference, on February 23, 2026",2026-02-23,company_news_cache
S028,CYSIC,product_launch,"Cysic AI marketplace launched week of March 9, 2026; mainnet goes live March 31",2026-03-09,company_news_cache
S029,GNOSIS,news,"Gnosis executed a hard fork on December 22, 2025, recovering $9.4M in stolen user funds",2025-12-22,company_news_cache
S030,CENTRIFUGE,product_launch,"Centrifuge launched a $100M tokenized credit strategy with Resolv on Aave on February 25, 2026",2026-02-25,company_news_cache
S031,PENNY BY B2C2,product_launch,"B2C2 launched PENNY in October 2025 for instant, zero-fee stablecoin swaps",,company_news_cache
S032,IMMUNEFI,product_launch,"Immunefi launched its governance token IMU on January 22, 2026",2026-01-22,company_news_cache
S033,MIDEN,funding,"Miden raised $25M seed funding led by a16z crypto, spinning out from Polygon",,company_news_cache
S034,LAGOON.FINANCE,news,Lagoon Finance manages $123M+ TVL across 70+ vaults on 18+ chains,,company_news_cache
S035,BYBIT,news,"Bybit transformed into ""The New Financial Platform"" in 2026, expanding beyond crypto exchange into global financial infrastructure",,company_news_cache
S036,SPACECOMPUTER,funding,SpaceComputer secured $10M in seed funding for satellite blockchain infrastructure,,company_news_cache
S037,AMBER GROUP,news,"Amber International announced $25.5M private placement on June 30, 2025",2025-06-30,company_news_cache
S038,ZIRCUIT,product_launch,"Zircuit Finance launched an institutional-grade onchain yield platform targeting 8–11% APR on February 17, 2026",2026-02-17,company_news_cache
S039,HACKEN,product_launch,Hacken released its 2025 Security Report revealing $3.95B in Web3 losses,,company_news_cache
S040,ESPRESSO SYSTEMS,news,"Espresso completed permissionless Proof-of-Stake transition on March 4, 2026",2026-03-04,company_news_cache
S041,OBOL,product_launch,Obol announced Pluto Multi-Client DV launch for 2026,,company_news_cache
S042,CERTOTA,award,"Certora awarded Ethereum Foundation grant for zkEVM autoprecompiles verification on Feb 5, 2026",,company_news_cache
S043,MATTER LABS (ZKSYNC),funding,Matter Labs secured $200 million Series C funding to accelerate zkSync development,,company_news_cache
S044,ZIRCUIT L2,product_launch,"Zircuit Finance, an institutional-grade yield platform, launched on February 17, 2026",2026-02-17,company_news_cache
S045,CHRONICLE,partnership,Chronicle partnered with Centrifuge as primary oracle for tokenized assets in early 2026,,company_news_cache
S046,CONSENSYS,funding,ConsenSys hired JPMorgan and Goldman Sachs for a mid-2026 IPO,,company_news_cache
S047,BABYLON,partnership,BTCVaults & Aave integration in April 2026 enables native BTC collateral on Aave V4,,company_news_cache
S048,MAMORI,funding,Mamori.xyz raised US$5 million in seed funding led by Blockchain Capital,,company_news_cache
S049,ICON TRADING,news,ICON Amsterdam reported record 2025 performance and planned U.S. expansion for 2026,,company_news_cache
S050,PARITY TECHNOLOGIES,news,"Parity Technologies announced Polkadot's new DOT issuance model and Dynamic Allocation Pool (DAP) on March 1, 2026",2026-03-01,company_news_cache
S051,EULER LABS,news,Euler Labs' founding CEO Michael Bentley stepped down to refocus on institutions,,company_news_cache
S052,OFFCHAIN LABS,news,Offchain Labs increased ARB holdings as Arbitrum surpassed $20B TVL,,company_news_cache
S053,REILABS,news,No recent news for ReiLabs; they build ZK cryptography tooling and proving systems for secure blockchain computation.[web:0],,company_news_cache
S054,ZENITH,partnership,"Zenith announced its public debut on March 6, 2026, launching an Ethereum execution environment integrated with Canton Network",2026-03-06,company_news_cache
S055,KILN,product_launch,Kiln powers Safe's launch of SG-FORGE Euro stablecoin yield platform,,company_news_cache
S056,AKTIONARIAT,product_launch,"Aktionariat launched Investor Page for Tokenized Shares on February 19, 2026",2026-02-19,company_news_cache
S057,GAIB,news,"GAIB published its 2026 roadmap on January 9, focusing on GPU tokenization expansion and robotics financing",,company_news_cache
S058,FLASHBOTS X,news,Flashbots deprecated centralized block builders and migrated to BuilderNet,,company_news_cache
S059,BITWISE ASSET MANAGEMENT,product_launch,Bitwise launched Chainlink ETF (CLNK) on NYSE Arca in January 2026,,company_news_cache
S060,BREVIS,product_launch,Brevis launched ProverNet mainnet in January 2026,,company_news_cache
S061,DE GAULLE FLEURANCE,news,De Gaulle Fleurance ranked Band 3 in Chambers FinTech 2026 for FinTech Legal (France),,company_news_cache
S062,SCROLL,news,"Scroll is projected to mature into a stable, production-ready zkEVM with strong developer mindshare by 2026",,company_news_cache
S063,ZISK,news,Polygon co-founder Jordi Baylina spun out Zisk from zkEVM team in June 2025,,company_news_cache
S064,LUMIS,news,"I cannot find any recent news, announcements, or milestones for Lumis in the provided search results",,company_news_cache
S065,FLASHBOTS,funding,Flashbots secures $60M Series B funding led by Paradigm to enhance SUAVE platform,,company_news_cache
S066,AVANTGARDE FINANCE,partnership,Avantgarde Finance partnered with Cork Protocol for Protected Loops in RWA vaults,,company_news_cache
S067,WORLD FOUNDATION,partnership,World App integrates native WLD economy with Mini Apps for daily utility and exchange,,company_news_cache
S068,BOUNDLESS,news,"Boundless became the largest fully decentralized ZK proof network, with 80-100x higher throughput",,company_news_cache
S069,FRANKENCOIN ASSOCIATION,partnership,"Frankencoin Association partnered with Mt-Pelerin, Zeal, and Gnosis Pay for ZCHF payments on September 24, 2025",2025-09-24,company_news_cache
S070,NETHERMIND,news,Octane Security's AI discovered and Nethermind patched a critical consensus layer vulnerability in March 2025,,company_news_cache
S071,PROPY,news,Propy secured a $100M credit facility in February 2026 to automate real estate closings and acquire title companies,,company_news_cache
S072,DOGEOS,partnership,"I cannot find information about a company called ""DOGEOS"" as a stablecoin protocol in the provided search results. The search results mention ""DogeOS"" as a proposed zero-knowledge proof integration for Dogecoin, not as a separate stablecoin company. No recent announcements or milestones for a stablecoin protocol named ""DOG",,company_news_cache
S073,MORPHO,news,Apollo Global's February 2026 agreement to acquire up to 9% of MORPHO tokens,,company_news_cache
S074,OWN,partnership,"I cannot find any recent news, announcements, product launches, partnerships, or milestones for a company called ""OWN"" in the provided search results from 2025-2026",,company_news_cache
S075,UNISWAP LABS,news,"Uniswap Labs' UNIfication proposal, approved by governance, activates fees and burns UNI tokens",,company_news_cache
S076,LINEA,news,Linea achieved Type-1 zkEVM in Q1 2026 for full Ethereum equivalence,,company_news_cache
S077,AAVE LABS,product_launch,Aave V4 launched on mainnet in Q1 2026 with Hub-and-Spoke architecture,,company_news_cache
S078,EVERSTAKE,partnership,"Everstake partnered with Cometh on January 7, 2026, to enable fiat-to-staking for EU institutions under MiCA",2026-01-07,company_news_cache
S079,IVAULT,news,IVault (IVT) shows significant organic growth in its peer-to-peer marketplace app,,company_news_cache
S080,PONOS TECHNOLOGY,product_launch,Ponos Technology launched ZK-proof accelerator chips for Ethereum scaling in Q1 2026,,company_news_cache
S081,FLUID,partnership,"Venus Flux launched on BNB Chain on February 26, 2026, partnering Fluid with Venus Protocol",2026-02-26,company_news_cache
S082,ZKM,news,No notable ZKM developments from 2025-2026; ZKM provides a universal ZK proof layer enabling verifiable settlement across any chain,,company_news_cache
S083,COW DAO,product_launch,"CoW Protocol launched on Ink in February 2026, expanding MEV-protected trading",,company_news_cache
S084,SHUTTER NETWORK,news,"Shutter Network published a blog on the ""Holy Trinity"" of Ethereum censorship resistance featuring encrypted mempools",,company_news_cache
S085,OLYMPIX,news,OLYMPIX is an AI-powered smart contract security platform that detects vulnerabilities during development in real time,,company_news_cache
S086,ARBITRUM,product_launch,"ArbOS ""Dia"" upgrade launched in January 2026, enhancing scalability and gas predictability",,company_news_cache
S087,COLIBRI.STATELESS,news,No notable recent developments for Colibri.stateless in 2025-2026; it is a stateless Ethereum client eliminating local state storage for reduced hardware needs,,company_news_cache
S088,WORLD LIBERTY FINANCIAL,product_launch,"World Swap Platform launched on February 12, 2026, for forex and remittances",2026-02-12,company_news_cache
S089,DIGITAL FINANCE GROUP (DFG),news,DFG established a Bitcoin reserve as a key part of its balance sheet strategy,,company_news_cache
S090,INFURA/DIN,product_launch,"DIN launched its AVS mainnet on EigenLayer in November 2025, decentralizing RPC infrastructure",,company_news_cache
S091,SEI LABS,news,Sei Network announced migration to EVM-only architecture scheduled for April 2026,,company_news_cache
S092,SPARK,product_launch,Spark launched Spark Prime and Institutional Lending suite,,company_news_cache
