company,contact_name,contact_title,email,email_trust,round_type,round_date,amount_raised,categories,website,company_summary,linkedin,twitter,investors,segment,tier,priority_score,source,org_flag
Dunamu,Dongmin Kim,Chief Technology Officer,,,Unknown,May 2026,$204.00M,CEX,dunamu.com,"Dunamu is a South Korea–based fintech and blockchain company best known for operating Upbit, one of the world’s largest cryptocurrency exchanges by volume. Founded in 2012, Dunamu develops digital asset infrastructure, blockchain solutions, securities trading services, and financial data platforms. Its ecosystem includes Upbit, the Upbit NFT marketplace, and blockchain services like Luniverse (via its subsidiary Lambda256). As a major force in Korea’s digital finance landscape, Dunamu support...",http://www.linkedin.com/in/dongminkim,https://twitter.com/vanyclub,Samsung Securities,Payments & Stablecoins,Hold-NoEmail,9,round2_new,
Midas,Lifeng Zhu,Chief Executive Officer,,,Series A,Apr 2026,$50.00M,"RWA, Finance/Banking",midas.app,Midas is an asset tokenization platform bringing exposure to institutional-grade assets on-chain.,http://www.linkedin.com/in/leezhumedtech,,"RRE Ventures, Creandum, Framework Ventures, HV Capital, Cathay Ledger Fund, North Island Ventures (NIV), Coinbase Ventures, Franklin Templeton, GSR Markets LTD",Payments & Stablecoins,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'Midas') -> verify domain midas.app
Jupiter,Jitendra Gupta,Founder & CEO,,,Strategic,Feb 2026,$35.00M,"DEX, Trading",jupiter.money,"Jupiter is a decentralized exchange (DEX) aggregator built on the Solana blockchain, focusing on providing traders with optimal prices and minimal slippage by aggregating liquidity. Originally designed as a swap engine, Jupiter has expanded its offerings to include various products like Dollar-Cost Averaging (DCA), limit orders, perpetual trading, and a launchpad to cater to different user needs.",http://www.linkedin.com/in/guptajiten,,ParaFi Capital,Trading & DeFi,Hold-NoEmail,9,round2_new,
Superstate,Anton Tsenov,Co-Founder & CEO,,,Series B,Jan 2026,$82.50M,"RWA, Finance/Banking",superstate.com,"Superstate is an asset management firm that utilizes blockchain technology to modernize investing through tokenized financial products. The company's approach aims to make investment products more efficient, transparent, and accessible, offering investors a seamless and secure experience. Superstate has submitted an Ethereum-based open mutual fund, the Superstate Short‑Term Government Bond Fund, to the U.S. Securities and Exchange Commission.",http://www.linkedin.com/in/antontsenov,,"Bain Capital Crypto, Distributed Global, HAUN Ventures, Brevan Howard Digital, Galaxy Digital, Sentinel Global, Bullish, Hypersphere, Flowdesk",Payments & Stablecoins,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'Superstate') -> verify domain superstate.com
LI.FI,Berkant Rodeski,"Co-founder, CTO & Product Manager",,,Series A,Dec 2025,$29.00M,"Bridge/Interoperability, DEX",li.fi,"LI.FI is a cross‑chain liquidity aggregation protocol that connects developers and users to bridges, DEXs, and decentralized liquidity sources through a single API, SDK, or widget. It enables optimized any‑to‑any swaps and asset transfers across 30+ blockchains by smartly routing trades and bridges to find the best price, lowest cost, and most secure path. LI.FI abstracts away the complexity of individual bridges and DEXs, letting applications offer seamless cross‑chain swaps and transfers wi...",http://www.linkedin.com/in/berkant-rodeski-7a5416379,,"Multicoin Capital, CoinFund",Trading & DeFi,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'LI.FI') -> verify domain li.fi
Figure,Brian Howell,Founder/CEO,,,Unknown,Nov 2025,$25.00M,"Finance/Banking, RWA, Payments",figure.ai,"Figure is a blockchain technology startup that offers loan origination, equity management, and payments services using the Provenance Blockchain. It is considered a unicorn company globally and aims to transform the financial services industry by bringing speed, efficiency, and savings to both consumers and institutions.",http://www.linkedin.com/in/brian-howell-a97498113,,Ondo Finance,Payments & Stablecoins,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'Figure') -> verify domain figure.ai
Lava,Adrian Allin,CEO,,,Unknown,Nov 2025,$200.00M,"Payments, Finance/Banking",l-a-v-a.com,"Lava is a financial platform that enables users to save in Bitcoin while spending in dollars. It offers a Bitcoin-backed debit card, allowing users to make everyday purchases seamlessly. By integrating Bitcoin savings with traditional spending, Lava provides a bridge between cryptocurrency holdings and conventional financial3-5 Word Desription: Bitcoin-backed debit card.",http://www.linkedin.com/in/adrian-allin-29bbab89,,"Anthony Pompliano, Eric Jackson",Payments & Stablecoins,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'Lava') -> verify domain l-a-v-a.com
aPriori,Irina Pirog,CEO,,,Strategic,Aug 2025,$20.00M,"DeFi, Finance/Banking",apriori.co,"Apriori is dedicated to revolutionizing decentralized finance (DeFi) by offering innovative financial products and services. The platform provides users with optimized yield strategies, secure asset management, and seamless integration with various blockchain networks. Apriori aims to democratize access to sophisticated financial tools, enabling users to maximize their returns while minimizing risk. By leveraging cutting-edge technology and a user-centric approach, Apriori is set to redefine ...",http://www.linkedin.com/in/irina-pirog-45910982,,"Hashkey Capital, Pantera Capital, Primitive, IMC, Gate Labs, Ambush Capital, Big Brain Collective, Echo",Trading & DeFi,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'aPriori') -> verify domain apriori.co
MANTRA,Maria Novaes,Founder & CEO,,,Unknown,Aug 2025,$20.00M,"Layer 1, Finance/Banking",mantragroup.com,"MANTRA is a Middle East-focused project securing licensures from Dubai's crypto regulator VARA, targeting the crypto-native community. It aims to fill a gap in the Cosmos ecosystem by creating a chain of regulated digital assets for users valuing regulatory compliance. Built on Cosmos SDK and Tendermint consensus, MANTRA offers a permissionless blockchain for developing Web3 applications in a regulated and compliant environment.",http://www.linkedin.com/in/maria-joao-novaes-a4676aa6,,Inveniam,Payments & Stablecoins,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'MANTRA') -> verify domain mantragroup.com
RD Technologies,MK Zhong,CTO,,,Series A,Aug 2025,$40.00M,"Stablecoin, Payments",rd.group,"RD Technologies is a fintech company aiming to revolutionize payments and commerce with enhanced trust, stability, and efficiency. The company is behind HKDR, a stablecoin backed by the Hong Kong Dollar, which aims to push the capabilities of digital currencies and expand the Web3 economy across Hong Kong and Asia. Additionally, RD Technologies offers RD Wallet, a licensed Stored Value Facility that allows businesses, both local and international, to open mobile accounts and make quick, secur...",http://www.linkedin.com/in/mk-zhong-255049271,,"Zhongan International, Hivemind, HongShan (ex Sequoia China), Matrixport Ventures, Immutable Capital",Payments & Stablecoins,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'RD Technologies') -> verify domain rd.group
Noah,Trezor Ndombe,CEO and Founder,,,Seed,Jun 2025,$22.00M,"Stablecoin, Payments, Wallet",noahny.com,"Noah is a stablecoin-based cross-border payments platform and crypto wallet designed for both businesses and individuals. It supports global transactions across 120+ local currencies, Bitcoin, and stablecoins with enterprise-grade compliance and real-time settlements. Noah provides a unified API for payment rails (cards, bank transfers, mobile money), KYC/AML tools, fast liquidity solutions, and a hosted checkout experience. Partnering with Circle, it integrates USDC for seamless payroll, rem...",http://www.linkedin.com/in/trezor-krys-beya-ndombe-55499ba4,,"LocalGlobe, Felix Capital, FJ Labs, Joe Lonsdale, David Helgason",Payments & Stablecoins,Hold-NoEmail,9,round2_new,AMBIGUOUS (multiple orgs named 'Noah') -> verify domain noahny.com
