name,title,company,bio,talk_session_title,country,photo_url,twitter,linkedin,website,other_social,is_featured,status,program,participant_id,event
Agha Khan,Blockchain & Stablecoin Lead,Deloitte,"Agha serves as the Blockchain and Stablecoin Lead for Deloitte's Blockchain & Digital Assets (BDA) Consulting practice within the US. He has 20+ years of experience in banking and capital markets leading enterprise-wide cross functional teams for Tier 1 investment banks, Asset Managers, Pension Funds and Hedge Funds. He has led public and private sector initiatives experimenting with programable tokenized forms of money and securities to enhance operational efficiencies, improve liquidity and reduce cost. In recent years, he has worked extensively with crypto start-ups (DEXs and DeFi companies) on product strategy, client segmentation, and product management. On the institutional side, he has worked with investment banks and centralized crypto exchanges on institutional client strategy, risk & compliance frameworks, operational & enterprise risk assessments, and vendor due diligence evaluations for digital assets.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/agha_khan.png,,https://www.linkedin.com/in/aghazkhan/,https://iq.wiki/wiki/agha-khan,,yes,active,Rare Evo 2026 (Main),126,Rare Evo 2026
Azeem Khan,Co-Founder,Miden,"Azeem Khan is the cofounder of Miden, a zero-knowledge that raised $25 million in seed funding led by a16z crypto, 1kx, and Hack VC. He serves as a consultant to the UNICEF CryptoFund and is a member of the World Economic Forum’s Crypto Sustainability Coalition. Recognized as a 2x Faces of Crypto Philanthropy by The Giving Block and one of the 100 Faces of Crypto by Stand With Crypto, Azeem is also a contributor with Forbes and a columnist with CoinDesk.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/azeem_khan (1).png,,https://www.linkedin.com/in/theazeemkhan/,https://iq.wiki/wiki/azeem-khan,,yes,active,Rare Evo 2026 (Main); Featured Exhibitors 2026,136,Rare Evo 2026
Bernie Moreno,United States Senator,,"Bernie Moreno was born in Bogota, Colombia. He moved to the United States with his family at age five and became an American citizen at age 18. Bernie purchased his first car dealership in 2005 and grew that one dealership into one of the largest dealership groups in America, eventually employing over 1,000 Ohioans. More recently, in 2016, Bernie recognized the value and transformational potential of blockchain technology, before it received mainstream attention, and moved much of his volunteer time and investment dollars into the space. In 2024, Bernie Moreno was elected to the United States Senate where he is fighting every day to restore the American Dream and put Ohioans’ needs first. Through his work on the Banking, Housing, and Urban Affairs Committee, Bernie is working to ensure that America leads in the future of finance and technology. Drawing on his private-sector experience, he is shaping pro-growth policies for digital assets and cryptocurrency.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/bernie_moreno.png,,,https://www.moreno.senate.gov/,,yes,active,Rare Evo 2026 (Main),150,Rare Evo 2026
Bobby Lee,Founder & CEO,Ballet,"Bobby Lee is author of the Wall Street Journal bestseller, The Promise of Bitcoin. He is also the Founder and CEO of Ballet, the cryptocurrency company behind the innovative REAL Series cold storage card. Launched in 2019, this self custody card is the world’s first ever non-electronic cold storage with multicurrency and NFT support, requiring no setup. Ballet aims to bring true global adoption to Bitcoin and cryptocurrency, by making it easy, safe, and reliable, for everyday people to store and manage their digital assets. Previously, Mr. Lee was the Co-founder and CEO of BTCC (also known as BTCChina), the first bitcoin exchange to launch in China, in 2011. The company was subsequently acquired in early 2018 by an investment firm in Hong Kong. Before BTCC, Mr. Lee was Vice President of Technology for Walmart's e-commerce business in China. Previously he was the CTO of SMG BesTV New Media, the largest IPTV operator in China with the most subscribers globally. He moved to Shanghai in 2007 and started off at EMC’s China Center of Excellence, as Director of Software Engineering, with responsibilities for Cloud Computing and Cloud Storage. Mr. Lee started his career in Silicon Valley as a software engineer at Yahoo!, and led the development of the earliest online communities. He graduated from Stanford University with B.S. and M.S. degrees in Computer Science, and was a member of the Mayfield Fellows Program. He earned an EMBA degree from CEIBS in China. In his spare time, he enjoys flying private planes, traveling, photography, watching movies, and playing poker.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/bobby_lee.png,https://x.com/bobbyclee/,,https://iq.wiki/wiki/bobby-lee,,yes,active,Rare Evo 2026 (Main),129,Rare Evo 2026
Brian Quintenz,Board of Directors - Kalshi,,"Brian D. Quintenz is a Board Chairman, Director, investor, and advisor to the world’s most innovative financial technology companies, including for KalshiEx, SUI Group Holdings (NASDAQ: SUIG), Next Level Derivatives, LLC, and Ubyx. He has long stood out as an innovative thinker in derivatives, blockchain and DeFi and was one of the earliest leaders in Washington to recognize the value of event contracts and crypto networks. Previously, Quintenz was the Global Head of Policy for a16z crypto, the crypto venture fund of Andreessen Horowitz (a16z), and a Commissioner of the Commodity Futures Trading Commission (CFTC), where he was unanimously confirmed by the U.S. Senate in 2017 and appointed by President Trump. Prior to his appointment to the CFTC, Quintenz worked in the financial markets, including at a Registered Investment Advisor and hedge fund he founded. He began his career on Capitol Hill in the House of Representatives as a legislative and policy advisor.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/brian_quintenz.png,,https://www.linkedin.com/in/brian-quintenz-3692865/,,,yes,active,Rare Evo 2026 (Main),147,Rare Evo 2026
Cisco Aguilar,Secretary of State - Nevada,Nevada,"Cisco Aguilar serves as Nevada’s Secretary of State. As Secretary, he is focused on modernizing, innovating and building transparency in the office. Under the Secretary’s leadership and vision, the office took on two major technology projects to modernize the state’s elections and business filings. The business filing system is making business easier in Nevada, and the statewide voter registration system, implemented in just fourteen months, increases security and streamlines the voter experience. Thanks to dedicated efforts to expand access to the ballot box, tribal voting turnout increased by 34% during the 2024 election. Prior to being elected, Secretary Aguilar served twelve years as General Counsel for Agassi Graf, the management company for Andre Agassi and Stefanie Graf, and the Andre Agassi Foundation for Education. In 2020, the Secretary launched Blueprint Sports, a sports technology startup, facilitating over $140 million in Name, Image, and Likeness (NIL) earnings for over 25,000 NCAA student-athletes since 2021. Secretary Aguilar is a graduate from the University of Arizona. Passionate about education, Secretary Aguilar is the Founding Chairman of Cristo Rey St. Viator High School, which provides an innovative workforce development program in one of Las Vegas’ most vulnerable neighborhoods. Secretary Aguilar also served on the Nevada Athletic Commission regulating boxing and mixed martial arts for eight years, two of which he served as Chairman.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/cisco_ag.png,,,https://www.nvsos.gov/sos-information/office-facts/about-francisco-v-aguilar,,yes,active,Rare Evo 2026 (Main),125,Rare Evo 2026
Daniela Barbosa,Executive Director,Lf Decentralized Trust,"Daniela Barbosa serves as General Manager of Decentralized Technologies at the Linux Foundation and Executive Director of LF Decentralized Trust. She has overall strategic and operational responsibility for staff, programs, expansion, and execution of LF Decentralized Trust’s mission. Previously, she spent seven years in leadership roles at Hyperledger Foundation, driving the collaborative development of enterprise-grade blockchain and identity technologies by a global community. She is a leading voice for the power of openly developed decentralized technologies to optimize critical infrastructure for efficiency, privacy, and inclusivity.",,,https://api.rareevo.io/storage/domains/dev.rareevo.io/participants/profile/HLfMZzhsD5dF9hFiPWJd13xhm5WsVuG6xm4RToVI.png,https://www.linkedin.com/in/danielabarbosa/,https://www.linkedin.com/in/danielabarbosa/,https://iq.wiki/wiki/daniela-barbosa,,yes,active,Rare Evo 2026 (Main),35,Rare Evo 2026
Jamie King,CMO,Minutes Network,"Jamie King is the Chief Marketing Officer of Minutes Network, a telecommunications and DePIN ecosystem that brings blockchain-powered infrastructure to one of the world's largest industries. His work spans the growth and adoption of Minutes Network's expanding ecosystem, including MNTx, the utility token powering network participation; Unetwork, a global mobile edge network; and Jingle, a developer platform that creates new revenue opportunities through telecommunications infrastructure. Jamie's focus is on helping scale real-world blockchain adoption through technologies that connect traditional telecom operators, mobile applications, network participants, and decentralized infrastructure. The ecosystem is designed to create tangible utility at a global scale, combining carrier-grade telecommunications with Web3-enabled participation models. While many know Jamie as a co-founder of Rockstar Games, where he helped build one of the most successful and influential companies in entertainment history and contributed to iconic franchises including Grand Theft Auto and Red Dead Redemption, his career has since spanned telecommunications, esports, media, technology, and Web3. A BAFTA Lifetime Achievement recipient, he has spent more than 30 years launching, scaling, and advising category-defining businesses across multiple industries, helping bring innovative technologies and products to global audiences.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/jamie_king.png,,,,,yes,active,Rare Evo 2026 (Main),161,Rare Evo 2026
Juan Leon,Senior Investment Strategist,Bitwise,"Juan Leon is the Senior Investment Strategist at Bitwise Asset Management where he helps lead research, product and strategy development, fund and index management, and supports sales and client relationships. Prior to Bitwise, he was a Portfolio Manager at U.S. Global Investors managing equity and fixed-income funds, and designed quantitative investment strategies. Before that, Juan was a Financial Analyst at Rackspace Technology where he contributed to financial planning and analysis. He is a graduate of Trinity University, double majoring in Political Science and Economics. Juan also earned the Chartered Financial Analyst designation from the CFA Institute.",,,https://api.rareevo.io/storage/domains/dev.rareevo.io/participants/profile/wyEWJSUjHpNgdedk5GO06xngOU5oaxUvB5qnw2cg.png,,https://www.linkedin.com/in/juan-f-leon/,https://iq.wiki/wiki/juan-leon,,yes,active,Rare Evo 2026 (Main),36,Rare Evo 2026
Maggie Parsons,Head of Operations,Lighter,"Maggie is Head of Operations at Lighter, a decentralized perps exchange using ZK technology to power high-performance trading on Ethereum. Her role covers finance, legal, compliance, and regulatory matters. Having spent her career across AI and crypto/fintech, she has a broad view of how emerging technology actually gets built and scaled. She’s drawn to the operational and structural challenges that come with building in new and complex spaces, of which DeFi has no shortage",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/maggie_parsons (1).png,,,,,yes,active,Rare Evo 2026 (Main),179,Rare Evo 2026
Mary Beth Buchanan,Board of Directors,Cardano Foundation,"Mary Beth Buchanan is a former U.S. Attorney for the Western District of Pennsylvania, serving from 2001 to 2009 after being appointed by President George W. Bush. She was the first woman and youngest person to hold that role, and also served in senior Department of Justice positions, including Acting Director of the Office on Violence Against Women. Following her government career, she has held leadership roles in law, finance, and crypto, including General Counsel at Kraken and executive positions at blockchain and fintech companies. She currently acts as Vice President on the Board of Directors of the Cardano Foundation.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/mb_buchanan.png,,,,,yes,active,Rare Evo 2026 (Main); Featured Exhibitors 2026; Dev/Gov Day,127,Rare Evo 2026
Micky Watkins,Founder & CEO,World Mobile,"Micky Watkins, CEO of World Mobile, is a telco entrepreneur. He raised millions in VC and private funding from heavyweights such as Deutsche Telekom and Carmel Ventures. As the Founder of Yallo, the first VOIP platform of its kind, Micky has spent the last decade developing business models to create how we connect.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/3tcT1dYyjrSWaF0KgPn8tvXSdRLZFQcXiaRDajuE.png,https://x.com/MrTelecoms,,https://iq.wiki/wiki/micky-watkins,iq_wiki:https://iq.wiki/wiki/micky-watkins,yes,active,Rare Evo 2026 (Main); Featured Exhibitors 2026,50,Rare Evo 2026
Peter Gray,BD Manager,Origin Protocol,"Peter Gray is the BD Manager at Origin Protocol. Origin Protocol is a seasoned deceneralized finance protocol dating back to 2017, with the goal of enabling finance for all. Origin Protocol has launched a suite of unique yield products across multiple blockchains, designed in a set-and-forget fashion. Origin Protocol's OUSD is the world's first yield-bearing stablecoin, and the ARM enables users to take advantage of redeemable asset peg arbitrage.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/peter_gray.png,,https://www.linkedin.com/in/matthewliu/,https://iq.wiki/wiki/matthew-liu,,yes,active,Rare Evo 2026 (Main); Featured Exhibitors 2026,132,Rare Evo 2026
Ron Hammond,Head of Policy & Advocacy,Wintermute,"Ron Hammond is the Head of Policy and Advocacy at Wintermute, a UK-based prop trading firm. Ron is leading Wintermute's US expansion in New York and brings nearly a decade of regulatory experience to his new role, having previously served as the Senior Director of Government Relations and Institutional Engagement at the Blockchain Association, a DC-based crypto trade association. His background also includes positions at Ripple as their in-house lobbyist and as Financial Services Policy Lead for Congressman Warren Davidson of Ohio, where he crafted the first bipartisan market structure bill known as the Token Taxonomy Act.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/ron_hammond.png,,https://www.linkedin.com/in/ron-hammond-38ab8a3a/,https://iq.wiki/wiki/ron-hammond,iq_wiki:https://iq.wiki/wiki/ron-hammond,yes,active,Featured Exhibitors 2026; Rare Evo 2026 (Main),135,Rare Evo 2026
Sam Kazemian,Founder,Frax,"Founder of Frax Finance, a decentralized stablecoin cryptocurrency protocol. Previously, he co-founded Everipedia, a for-profit, wiki-based online encyclopedia. He founded Everipedia with Theodor Forselius in December 2014 and later served as its President. In 2019, he began development of Frax, a fractional stablecoin cryptocurrency.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/sam_kazemian.png,https://x.com/samkazemian,,https://iq.wiki/wiki/sam-kazemian,,yes,active,Rare Evo 2026 (Main),25,Rare Evo 2026
Scott Dykstra,Co-Founder and CTO,Space and Time,"Scott Dykstra is Co-Founder and CTO of Space and Time. Scott previously served as a VP of Cloud at Teradata, where he spent nearly eight years bringing the firm from on-premise deployments to next-gen, cloud-based SaaS.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/scott_dykstra.png,https://x.com/chiefbuidl,,https://iq.wiki/wiki/scott-dykstra,,yes,active,Rare Evo 2026 (Main),138,Rare Evo 2026
Stephen Gregory,CEO,Binance.US,"Stephen Gregory is CEO of Binance.US, leading the crypto exchange into its next phase of growth. Mr. Gregory has deep experience in building and scaling regulated crypto infrastructure companies, having previously served as U.S. CEO of Currency.com, a cryptocurrency trading platform and digital finance provider, through the company’s acquisition in 2025. A seasoned attorney with expertise in digital assets compliance, Mr. Gregory has also held key compliance leadership positions at Gemini and CEX.io. Mr. Gregory earned his J.D. from the Maurice A. Deane School of Law at Hofstra University. He also holds a B.A. in Political Science from Franklin & Marshall College, as well as an M.A. in Environmental Law and Policy from Vermont Law and Graduate School.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/stephen.gregory.png,https://x.com/Stevie_Satoshi,https://www.linkedin.com/in/stevegregory9/,https://iq.wiki/wiki/stephen-gregory,,yes,active,Rare Evo 2026 (Main),146,Rare Evo 2026
