name,org,handle,social,icp_score,icp_reason,tweet_count,outreach_message
NOID,KRAKEN,@__noided,https://x.com/__noided,90,"Exchange errors cause financial loss, regulatory sanctions, reputational damage",0,"Running a regulated exchange at Kraken's scale means the cost of a single wrong decision isn't abstract — it's financial loss, regulatory action, or both, at once, in public. That kind of permanence rarely shows up in architecture reviews until it's too late to fix. At FP Block we built Kolme specifically for teams that need the isolation and ownership of their own infrastructure without sacrificing reach. Would you have 20 minutes at EthCC in Cannes to talk through where that pressure shows up for you?"
JOSEF JELACIC,OWN,@josefje,https://x.com/josefje,78,Regulated capital markets on-chain; legal and financial cost of errors,10,"Your note about Ethereum not finalizing for three epochs — but keeping going, with users barely noticing — is exactly the kind of thing that looks fine until capital markets depend on it. Regulated asset issuance has zero tolerance for the gap between 'kept going' and 'guaranteed to settle.' At FP Block we built Kolme so teams running financial infrastructure own their execution environment rather than inherit someone else's liveness assumptions. Would you have 20 minutes at EthCC in Cannes to talk through where that boundary sits for OWN?"
KITE LIU,UNISWAP LABS,@kiteliudingyue,https://x.com/kiteliudingyue,78,Massive TVL DEX; smart contract bugs cause irreversible losses,0,"At the scale Uniswap moves, a contract decision that seemed reasonable during deployment becomes extremely difficult to reason about when the market regime changes and hundreds of billions in liquidity depend on it. The gap between 'deployed and working' and 'owned and understood' is where the permanent costs accumulate. FP Block built Kolme for teams that need the correctness guarantees of dedicated infrastructure without losing ecosystem reach. Would you have 20 minutes at EthCC in Cannes?"
CHRIS YIN,PLUME NETWORK,@chriseyin,https://x.com/chriseyin,88,RWA tokenization with legal/financial stakes; highly persistent errors,10,"""Prove it, instead of FOMO"" is the right frame — and it's exactly the problem that RWA tokenization forces into the open, because the legal and financial record is permanent regardless of whether the proof holds. Compliance-heavy markets don't forgive infrastructure that was fast to ship but slow to own. At FP Block, Kolme gives teams their own execution environment — the control of a dedicated chain, with interoperability intact. Would you have 20 minutes at EthCC in Cannes to talk through where Plume's permanence exposure sits?"
RAZA ZAIDI,SCROLL,@razacodes,https://x.com/razacodes,80,ZK proof bugs or rollup errors could freeze or drain bridged user funds,10,Building a scaling layer where ZK proof failures can freeze user funds is exactly the kind of system where correctness stops being a preference and becomes a baseline. The cost of getting it wrong isn't a rollback — it's locked capital and a trust event that's hard to recover from. FP Block built Kolme for teams that need the performance of dedicated infrastructure while keeping full interoperability with the broader ecosystem. Would you have 20 minutes at EthCC in Cannes to compare notes on where Scroll draws those lines?
RÉMI,LAGOON.FINANCE,@remilm,https://x.com/remilm,85,"RWA on-chain; smart contract bugs cause persistent, locked capital loss",0,"Routing stablecoin capital into tokenized real-world assets means every smart contract decision Lagoon makes has a legal and financial record that outlasts the sprint that shipped it. On-chain yield protocols live or die on the assumption that nothing that mattered got locked in by mistake. FP Block built Kolme for teams managing capital where the cost of an architectural error is measured in what's irreversible, not what's inconvenient. Would you have 20 minutes at EthCC in Cannes?"
TERENCE TSAO,OFFCHAIN LABS,@terencechain,https://x.com/terencechain,82,Billions in L2 TVL; sequencer or bridge bugs are irreversible,0,"Arbitrum carries more L2 TVL than anyone, which means the sequencer and bridge decisions made during development are now load-bearing in ways that are essentially impossible to revisit without a coordinated upgrade. That gap — between 'we shipped this' and 'we own this' — is where the permanent costs accumulate. FP Block built Kolme for teams that need the control of dedicated execution without giving up ecosystem reach. Would you have 20 minutes at EthCC in Cannes to talk through where that pressure shows up?"
,,@straus_fm,,,,,"Three days without sleep reviewing 7,000 lines of code on a previously audited codebase — and the thing you're carrying the whole time is the knowledge that if you miss something, the cost lands on people who trusted the audit. That weight is what makes your work matter, and it's exactly why the infrastructure underneath critical protocols needs to be owned, not inherited. FP Block built Kolme for the teams on the other side of that — the ones building systems where what you ship becomes permanent. Would you have 20 minutes at EthCC in Cannes?"
SHEALTIELANZ,SIGMA PRIME,@shealtielanzz,https://x.com/shealtielanzz,94,Consensus client bugs and missed audits risk billions in staked ETH,0,"Running the Lighthouse client means bugs in your code don't affect one protocol — they affect the consensus layer that everything else depends on, with no clean rollback. That's the definition of a system where correctness and ownership matter more than iteration speed. FP Block builds infrastructure for teams under exactly that kind of permanence pressure, and Kolme gives clients the isolation to own their execution without losing interoperability. Would you have 20 minutes at EthCC in Cannes?"
,,@declanfox14,,,,,"You mentioned that people don't fully appreciate the gravity of an ecosystem fund Linea's size — and you're right, because the decisions made now about how that capital flows will be very hard to change once the infrastructure that routes it is entrenched. L2s with real TVL carry the same architectural permanence problem as any financial system: what you build first becomes what you live with longest. FP Block built Kolme for teams at that inflection point. Would you have 20 minutes at EthCC in Cannes to talk through it?"
