Company,Website,CEO,CTO,Nationality,Description,Category,Amount_Raised,Round_Type,Date_Raised,Investors,Source
Cardinal,https://trycardinal.ai/,,,United States,AI Platform for Precision Outbound,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Wideframe,https://wideframe.com,,,United States,AI coworker for video editors to ship more video faster,AI Video & Media,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Martini,https://martini.film,,,United States,AI Video Production for Professionals,AI Video & Media,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Shofo,https://shofo.ai/,,,United States,The World's Largest Video Library,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Wayco,https://wayco.ai,,,United States,AI operator for medlegal cases,AI Legal,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Carrot Labs,https://superpenguin.ai/,,,United States,AI Cost Management: Track and attribute AI spend across every provider,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
GrazeMate,https://grazemate.com,,,Australia,Robot Cowboys that Herd Cattle with AI Drones,AI Robotics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Librar Labs,https://www.librarlabs.com,,,United States,Intelligence for cultural institutions,AI Adjacent - Other,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Ritivel,https://www.ritivel.com,,,United States,AI-native platform for Life-Sciences Documentation ,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Pollinate,https://www.pollinate.tech/,,,United States,AI Agents for the supply chain.,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
VOYGR,https://voygr.tech,,,United States,Real-world place intelligence for AI apps and agents,AI Data & Analytics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
MochaCare,https://www.mochacare.com/,,,United States,Agentic Management Service for Care Organizations,AI Healthcare,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Vela,https://tryvela.ai,,,United States,AI Agents For Complex Scheduling Coordination,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Supafax,https://supafax.com,,,United States,AI assistant for your email and calendar,AI Productivity,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Talking Computers,https://talkingcomputers.ai,,,United States,AI for AI Infrastructure,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Copperlane,https://www.copperlane.ai,,,United States,Agentic Mortgage Origination,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Canary,https://www.runcanary.ai,,,United States,The first AI QA engineer that understands your code,AI Code Generation,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Grade,https://usegrade.com,,,United States,API for performance-based payroll,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Sila,https://silahq.com,,,United States,AI Work Messaging & Collaboration Platform,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Maven,https://trymaven.com,,,United States,Payments Infrastructure for Voice Agents,AI Voice & Audio,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Moda,https://moda.dev,,,United States,The monitoring layer your AI agents need.,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
The Token Company,https://thetokencompany.com,,,United States,Compression middleware that improves LLM outputs,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
BeeSafe AI,https://beesafe.ai/,,,United States,Frontier AI Defenses for Social Engineering Attacks,AI Security,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Fed10,https://www.fed10.ai,,,United States,AI Agents for Government Affairs,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Squid,https://squid.energy,,,United Kingdom,AI agents for power grid planning  🦑 ,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Crow,https://www.usecrow.ai/,,,United States,AI for Commercial Real Estate,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Foreman,https://foreman.co,,,United States,"Keeping contractors on the job site, not behind a desk.",AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Corelayer,https://www.corelayer.com,,,United States,"AI on-call engineer for data-heavy, regulated industries",AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
General Legal,https://general.legal,,,United States,Elite AI law firm for high growth companies,AI Legal,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Balance,https://getbalance.ai,,,United Kingdom,Full-Stack AI Accounting,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Chasi,https://chasi.ai/,,,United States,AI Revenue Engine for the Equipment Industry ,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Glue,https://buildwithglue.com,,,United States,The Interface Design Canvas for AI agents,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
o11,https://o11.ai,,,United States,Bespoke AI For Financial Firms,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Voxel Energy,https://voxelenergy.com/,,,United States,Energy independent data centers with solar and repurposed batteries. ,AI Hardware,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Polymath,https://polymathlabs.ai/,,,United States,Simulation environments to train & evaluate long-horizon AI agents,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Bubble Lab,https://bubblelab.ai/,,,United States,"Prompt once, automate forever.",AI Productivity,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Constellation Space,https://constellation.space/,,,United States,AI operating system for mega-scale satellite networks. ,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Mendral,https://mendral.com/,,,United States,AI DevOps Engineer,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
AxionOrbital Space,https://axionorbital.space/,,,United States,Foundation models for 24/7 Earth Observation,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Oximy,https://oximy.com,,,United States,See and control all AI activity across your enterprise,AI Security,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Caretta,https://www.caretta.so,,,United States,Realtime AI for Sales Calls,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Samora AI,https://samora.ai/,,,United States,Multilingual voice agents that outperform humans,AI Voice & Audio,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Human Archive,https://www.humanarchive.ai/,,,United States,Multimodal data provider for robotics and world modeling,AI Robotics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Sitefire,https://sitefire.ai,,,United States,Marketing suite for the agentic web,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Robby,https://tryrobby.com,,,United States,AI agents that grow revenue for home services businesses,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Ressl AI,https://ressl.ai,,,United States,AI Workers for Field Services,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Emdash,https://emdash.sh,,,United States,Open-source Agentic Development Environment,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
InventoryQuant,https://www.inventoryquant.com,,,United States,We automate the inventory process in insurance,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Congruent,https://congruent.io,,,United States,AI native radars for self-driving cars,AI Hardware,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
